x,y
[-3.14159265],[0.44554841]
[-3.09956466],[0.44368967]
[-3.05753666],[0.46082171]
[-3.03652267],[0.37684235]
[-3.01550867],[0.42787701]
[-2.99449467],[0.38597987]
[-2.97348067],[0.40298249]
[-2.95246667],[0.40420137]
[-2.93145268],[0.34994207]
[-2.91043868],[0.29756531]
[-2.88942468],[0.4256602]
[-2.84739669],[0.30391115]
[-2.82638269],[0.32095249]
[-2.80536869],[0.32414431]
[-2.78435469],[0.35834034]
[-2.7633407],[0.29142266]
[-2.7423267],[0.33867457]
[-2.6792847],[0.26941445]
[-2.65827071],[0.34815794]
[-2.63725671],[0.27924913]
[-2.61624271],[0.29027889]
[-2.59522871],[0.27448628]
[-2.57421472],[0.26145228]
[-2.55320072],[0.21555613]
[-2.53218672],[0.16145893]
[-2.51117272],[0.22294523]
[-2.49015873],[0.25266302]
[-2.46914473],[0.20855819]
[-2.44813073],[0.19285001]
[-2.40610273],[0.2305169]
[-2.38508874],[0.2008824]
[-2.36407474],[0.11555312]
[-2.34306074],[0.22090633]
[-2.32204674],[0.24127297]
[-2.30103275],[0.19628515]
[-2.28001875],[0.11220796]
[-2.25900475],[0.15770182]
[-2.21697676],[0.20085671]
[-2.19596276],[0.12782303]
[-2.17494876],[0.05332947]
[-2.15393476],[0.12514348]
[-2.06987877],[0.09006096]
[-1.98582278],[0.06526279]
[-1.96480878],[0.1349275]
[-1.94379479],[0.12787408]
[-1.90176679],[0.05736746]
[-1.88075279],[0.08518547]
[-1.85973879],[0.07915281]
[-1.8387248],[0.08433268]
[-1.8177108],[0.0519465]
[-1.7966968],[0.06941347]
[-1.7756828],[0.11225652]
[-1.75466881],[0.03938578]
[-1.73365481],[0.03774447]
[-1.71264081],[0.11793318]
[-1.69162681],[0.04276114]
[-1.67061282],[0.08540828]
[-1.62858482],[0.07416769]
[-1.60757082],[0.04041882]
[-1.58655683],[0.07486628]
[-1.56554283],[0.07260179]
[-1.54452883],[0.08505311]
[-1.52351483],[0.]
[-1.50250083],[0.02170733]
[-1.48148684],[0.06648035]
[-1.43945884],[0.09442601]
[-1.41844484],[0.02287485]
[-1.39743085],[0.07533579]
[-1.37641685],[0.09747655]
[-1.35540285],[0.1086991]
[-1.33438885],[0.01483041]
[-1.27134686],[0.04909145]
[-1.25033286],[0.09625405]
[-1.20830487],[0.10926928]
[-1.18729087],[0.09123599]
[-1.16627687],[0.04352342]
[-1.14526287],[0.09097388]
[-1.12424888],[0.0235541]
[-1.10323488],[0.10415117]
[-1.08222088],[0.12692629]
[-1.04019289],[0.12405527]
[-1.01917889],[0.1046866]
[-0.95613689],[0.07030952]
[-0.8930949],[0.16312116]
[-0.8720809],[0.24761364]
[-0.85106691],[0.11097968]
[-0.83005291],[0.19753141]
[-0.80903891],[0.22586903]
[-0.78802491],[0.21158199]
[-0.76701092],[0.07886263]
[-0.74599692],[0.20499012]
[-0.72498292],[0.19308723]
[-0.70396892],[0.25003649]
[-0.68295492],[0.19860381]
[-0.66194093],[0.2058915]
[-0.64092693],[0.23244549]
[-0.61991293],[0.24783341]
[-0.57788494],[0.32210665]
[-0.55687094],[0.29979705]
[-0.53585694],[0.31230488]
[-0.51484294],[0.23532106]
[-0.49382895],[0.28877375]
[-0.47281495],[0.2191549]
[-0.45180095],[0.27470502]
[-0.43078695],[0.26534188]
[-0.36774496],[0.35231356]
[-0.30470297],[0.31834853]
[-0.28368897],[0.33750713]
[-0.26267497],[0.31612071]
[-0.24166097],[0.2770798]
[-0.22064698],[0.35839036]
[-0.19963298],[0.38007721]
[-0.17861898],[0.41221395]
[-0.15760498],[0.4362476]
[-0.13659098],[0.41822473]
[-0.11557699],[0.40821355]
[-0.07354899],[0.53191716]
[-0.05253499],[0.40984662]
[-0.031521],[0.42236835]
[0.010507],[0.50052992]
[0.05253499],[0.51350592]
[0.07354899],[0.49359637]
[0.09456299],[0.51538706]
[0.11557699],[0.4928852]
[0.13659098],[0.56618392]
[0.15760498],[0.55937822]
[0.17861898],[0.51184207]
[0.19963298],[0.47849957]
[0.26267497],[0.59494801]
[0.28368897],[0.65640436]
[0.30470297],[0.60224905]
[0.32571696],[0.58557613]
[0.36774496],[0.58280156]
[0.38875896],[0.58263673]
