x,y
[-3.12057866],[0.]
[-3.09956466],[0.00329724]
[-3.07855066],[0.00909188]
[-3.03652267],[0.00691663]
[-3.01550867],[0.00292695]
[-2.99449467],[0.01077776]
[-2.95246667],[0.00652465]
[-2.93145268],[0.00148908]
[-2.88942468],[0.0066894]
[-2.86841068],[0.00813281]
[-2.82638269],[0.01109399]
[-2.80536869],[0.00328485]
[-2.78435469],[0.00387435]
[-2.7633407],[0.00569121]
[-2.7423267],[0.01328673]
[-2.7213127],[0.00896804]
[-2.7002987],[0.00523277]
[-2.6792847],[0.0055329]
[-2.63725671],[0.01093397]
[-2.61624271],[0.00486838]
[-2.59522871],[0.00969716]
[-2.55320072],[0.01297096]
[-2.53218672],[0.00247622]
[-2.51117272],[0.00588382]
[-2.49015873],[0.0112826]
[-2.44813073],[0.00353568]
[-2.42711673],[0.01404226]
[-2.40610273],[0.00701839]
[-2.36407474],[0.00886018]
[-2.34306074],[0.00533575]
[-2.28001875],[0.00559471]
[-2.25900475],[0.00455543]
[-2.23799075],[0.01051619]
[-2.19596276],[0.01300385]
[-2.17494876],[0.01399535]
[-2.13292076],[0.01256769]
[-2.11190677],[0.01645165]
[-2.09089277],[0.01510923]
[-2.06987877],[0.01182979]
[-2.04886477],[0.01426177]
[-2.02785078],[0.01177701]
[-2.00683678],[0.01286628]
[-1.98582278],[0.01334911]
[-1.96480878],[0.01077443]
[-1.94379479],[0.0127335]
[-1.92278079],[0.01163775]
[-1.90176679],[0.01615654]
[-1.88075279],[0.00679951]
[-1.8177108],[0.01354819]
[-1.7756828],[0.01102212]
[-1.75466881],[0.01033971]
[-1.73365481],[0.01444815]
[-1.71264081],[0.0163435]
[-1.69162681],[0.02114991]
[-1.64959882],[0.01462717]
[-1.62858482],[0.01003804]
[-1.60757082],[0.01698693]
[-1.58655683],[0.01478051]
[-1.56554283],[0.00828903]
[-1.54452883],[0.01047079]
[-1.52351483],[0.01978502]
[-1.50250083],[0.00236175]
[-1.48148684],[0.01873594]
[-1.46047284],[0.01615613]
[-1.41844484],[0.02436963]
[-1.39743085],[0.0165149]
[-1.37641685],[0.01594143]
[-1.35540285],[0.01684211]
[-1.33438885],[0.01525866]
[-1.31337486],[0.01720155]
[-1.29236086],[0.01681095]
[-1.27134686],[0.01086055]
[-1.25033286],[0.01847718]
[-1.22931886],[0.01748616]
[-1.20830487],[0.02020069]
[-1.18729087],[0.01869491]
[-1.14526287],[0.01500471]
[-1.12424888],[0.01469167]
[-1.10323488],[0.01613077]
[-1.06120688],[0.01959006]
[-1.01917889],[0.02510132]
[-0.99816489],[0.02181896]
[-0.97715089],[0.01673832]
[-0.95613689],[0.02487353]
[-0.9351229],[0.02246135]
[-0.9141089],[0.01806996]
[-0.8930949],[0.02295036]
[-0.8720809],[0.01872575]
[-0.85106691],[0.02205992]
[-0.80903891],[0.01890834]
[-0.78802491],[0.0220924]
[-0.76701092],[0.02358683]
[-0.74599692],[0.02206822]
[-0.72498292],[0.02327643]
[-0.70396892],[0.02656797]
[-0.68295492],[0.03208392]
[-0.66194093],[0.03129559]
[-0.64092693],[0.0326511]
[-0.61991293],[0.02626054]
[-0.59889893],[0.02546574]
[-0.53585694],[0.03342228]
[-0.51484294],[0.03010873]
[-0.49382895],[0.02738129]
[-0.47281495],[0.02998873]
[-0.43078695],[0.0282872]
[-0.40977295],[0.03435588]
[-0.38875896],[0.03799117]
[-0.36774496],[0.04174338]
[-0.34673096],[0.03624039]
[-0.32571696],[0.03456019]
[-0.28368897],[0.03422525]
[-0.26267497],[0.03851539]
[-0.22064698],[0.03689025]
[-0.19963298],[0.04090292]
[-0.17861898],[0.04058604]
[-0.15760498],[0.03961021]
[-0.13659098],[0.04283304]
[-0.11557699],[0.03734397]
[-0.09456299],[0.05152658]
[-0.07354899],[0.04248382]
[-0.05253499],[0.04498331]
[-0.031521],[0.04441037]
[-0.010507],[0.04647612]
[0.031521],[0.05363389]
[0.05253499],[0.04624134]
[0.09456299],[0.05551909]
[0.11557699],[0.05156956]
[0.15760498],[0.05527623]
[0.17861898],[0.05960909]
[0.19963298],[0.05526468]
[0.22064698],[0.0519684]
[0.24166097],[0.0541676]
[0.28368897],[0.07273526]
[0.30470297],[0.06804725]
[0.32571696],[0.06822756]
[0.34673096],[0.06548687]
[0.36774496],[0.06723158]
[0.38875896],[0.07362922]
[0.40977295],[0.06982575]
[0.43078695],[0.07319026]
[0.47281495],[0.0801833]
[0.49382895],[0.08207103]
[0.51484294],[0.07756618]
[0.53585694],[0.08065418]
[0.55687094],[0.07924833]
[0.57788494],[0.08043929]
[0.59889893],[0.08499719]
[0.61991293],[0.08704283]
[0.64092693],[0.08405441]
[0.66194093],[0.08816786]
[0.68295492],[0.08488721]
[0.70396892],[0.09094523]
[0.72498292],[0.0988827]
[0.74599692],[0.10005045]
[0.76701092],[0.10255283]
[0.78802491],[0.10754744]
[0.80903891],[0.10083765]
[0.83005291],[0.11479762]
[0.85106691],[0.10262296]
[0.8720809],[0.09779448]
[0.8930949],[0.11551076]
[0.9141089],[0.10320408]
[0.9351229],[0.11529901]
[0.95613689],[0.11566137]
[0.97715089],[0.11358127]
[0.99816489],[0.11955742]
[1.01917889],[0.13276144]
[1.08222088],[0.12752462]
[1.12424888],[0.13346829]
[1.16627687],[0.14364108]
[1.18729087],[0.14754823]
[1.22931886],[0.15120125]
[1.27134686],[0.15827555]
[1.29236086],[0.15604113]
[1.33438885],[0.17044363]
[1.35540285],[0.17329196]
[1.37641685],[0.17263595]
[1.41844484],[0.18598705]
[1.43945884],[0.17902784]
[1.48148684],[0.19306002]
[1.50250083],[0.20192004]
[1.52351483],[0.19854352]
[1.54452883],[0.21136453]
[1.56554283],[0.2124894]
[1.58655683],[0.21094946]
[1.60757082],[0.21060328]
[1.64959882],[0.22878935]
[1.67061282],[0.23500784]
[1.69162681],[0.23183948]
[1.71264081],[0.23538929]
[1.73365481],[0.24585443]
[1.75466881],[0.25803242]
[1.7756828],[0.25905773]
[1.7966968],[0.26793207]
[1.8387248],[0.27078426]
[1.85973879],[0.27978423]
[1.88075279],[0.28932301]
[1.92278079],[0.30267927]
[1.96480878],[0.31280879]
[1.98582278],[0.32071479]
[2.00683678],[0.32611445]
[2.02785078],[0.32940751]
[2.04886477],[0.34377311]
[2.06987877],[0.33917662]
[2.09089277],[0.34738984]
[2.11190677],[0.35147046]
[2.13292076],[0.37259949]
[2.15393476],[0.37796464]
[2.17494876],[0.37871357]
[2.19596276],[0.39030221]
[2.23799075],[0.4042926]
[2.25900475],[0.40907694]
[2.32204674],[0.4442266]
[2.36407474],[0.46102215]
[2.42711673],[0.49168015]
[2.44813073],[0.49463402]
[2.51117272],[0.53624906]
[2.53218672],[0.54614113]
[2.55320072],[0.55853277]
[2.59522871],[0.57650693]
[2.61624271],[0.58838628]
[2.65827071],[0.61449363]
[2.6792847],[0.63108866]
[2.7002987],[0.64169527]
[2.7423267],[0.67601586]
[2.7633407],[0.68519998]
[2.78435469],[0.71128177]
