x,y
[-3.14159265],[0.49738754]
[-3.12057866],[0.4670974]
[-3.09956466],[0.44514835]
[-3.07855066],[0.44454513]
[-3.05753666],[0.43810917]
[-3.01550867],[0.41506768]
[-2.97348067],[0.40233605]
[-2.93145268],[0.40035234]
[-2.91043868],[0.4023883]
[-2.88942468],[0.33558731]
[-2.86841068],[0.34164033]
[-2.84739669],[0.30818433]
[-2.82638269],[0.33820741]
[-2.80536869],[0.37924241]
[-2.7633407],[0.29885435]
[-2.7423267],[0.26404964]
[-2.7213127],[0.3549788]
[-2.7002987],[0.27354288]
[-2.6792847],[0.27253358]
[-2.65827071],[0.31022975]
[-2.59522871],[0.29679765]
[-2.57421472],[0.24637573]
[-2.55320072],[0.1955314]
[-2.53218672],[0.15224956]
[-2.51117272],[0.20766707]
[-2.49015873],[0.29530212]
[-2.46914473],[0.20459187]
[-2.42711673],[0.15854419]
[-2.40610273],[0.14410003]
[-2.38508874],[0.20381592]
[-2.36407474],[0.15487509]
[-2.34306074],[0.18217137]
[-2.32204674],[0.20597704]
[-2.30103275],[0.1233783]
[-2.28001875],[0.13900815]
[-2.23799075],[0.12526174]
[-2.21697676],[0.03384197]
[-2.15393476],[0.14420293]
[-2.13292076],[0.12601601]
[-2.11190677],[0.10780921]
[-2.09089277],[0.08907361]
[-2.06987877],[0.17102587]
[-2.04886477],[0.14341306]
[-2.02785078],[0.168656]
[-2.00683678],[0.13826779]
[-1.98582278],[0.0627836]
[-1.96480878],[0.07055639]
[-1.92278079],[0.07369823]
[-1.90176679],[0.10014927]
[-1.85973879],[0.04515242]
[-1.8387248],[0.07506356]
[-1.7966968],[0.10233989]
[-1.7756828],[0.09121225]
[-1.75466881],[0.06574654]
[-1.73365481],[0.04722062]
[-1.71264081],[0.0165055]
[-1.69162681],[0.08036204]
[-1.67061282],[0.087955]
[-1.64959882],[0.07829943]
[-1.62858482],[0.1043344]
[-1.58655683],[0.04486336]
[-1.48148684],[0.11411974]
[-1.46047284],[0.05495734]
[-1.43945884],[0.08124977]
[-1.41844484],[0.04247793]
[-1.39743085],[0.03410447]
[-1.37641685],[0.05039192]
[-1.35540285],[0.08688172]
[-1.33438885],[0.09997576]
[-1.31337486],[0.09459581]
[-1.29236086],[0.021009]
[-1.27134686],[0.0823631]
[-1.22931886],[0.10038717]
[-1.16627687],[0.08782579]
[-1.14526287],[0.10721302]
[-1.12424888],[0.10610864]
[-1.08222088],[0.05389414]
[-1.06120688],[0.07269535]
[-1.04019289],[0.08061472]
[-1.01917889],[0.0863908]
[-0.99816489],[0.07654305]
[-0.97715089],[0.10833398]
[-0.9351229],[0.07637965]
[-0.9141089],[0.14835505]
[-0.8930949],[0.13734942]
[-0.8720809],[0.11939861]
[-0.83005291],[0.12756498]
[-0.78802491],[0.14551653]
[-0.74599692],[0.23590108]
[-0.72498292],[0.15679858]
[-0.70396892],[0.20366841]
[-0.68295492],[0.27059146]
[-0.66194093],[0.17125528]
[-0.61991293],[0.31528032]
[-0.59889893],[0.23196809]
[-0.57788494],[0.17971653]
[-0.55687094],[0.30604603]
[-0.53585694],[0.18428462]
[-0.51484294],[0.30975666]
[-0.49382895],[0.29672375]
[-0.47281495],[0.27448393]
[-0.45180095],[0.27859096]
[-0.43078695],[0.33216204]
[-0.40977295],[0.27006521]
[-0.38875896],[0.32701648]
[-0.36774496],[0.34810071]
[-0.34673096],[0.25810827]
[-0.32571696],[0.29464766]
[-0.30470297],[0.30366101]
[-0.28368897],[0.27017474]
[-0.26267497],[0.36411706]
[-0.24166097],[0.41450072]
[-0.22064698],[0.44144806]
[-0.19963298],[0.37563047]
[-0.17861898],[0.41590481]
[-0.15760498],[0.42409856]
[-0.13659098],[0.40854841]
[-0.09456299],[0.46086398]
[-0.07354899],[0.42445924]
[-0.05253499],[0.473326]
[-0.010507],[0.48799163]
[0.010507],[0.51690691]
[0.031521],[0.50045143]
[0.07354899],[0.48975586]
[0.09456299],[0.5365487]
[0.11557699],[0.51941558]
[0.13659098],[0.49778349]
[0.17861898],[0.5319873]
[0.19963298],[0.50174987]
[0.22064698],[0.56253744]
[0.24166097],[0.56454274]
[0.26267497],[0.51881581]
[0.28368897],[0.52808207]
[0.34673096],[0.62050527]
[0.36774496],[0.59658059]
[0.38875896],[0.64135655]
[0.40977295],[0.54933489]
[0.43078695],[0.60225177]
[0.45180095],[0.69808776]
[0.47281495],[0.71216363]
[0.49382895],[0.69091486]
[0.51484294],[0.69732357]
[0.55687094],[0.70271674]
[0.57788494],[0.70764747]
[0.59889893],[0.6953444]
