x,y
[-3.14159265],[0.94818879]
[-3.12057866],[0.95110349]
[-3.09956466],[0.95317122]
[-3.07855066],[0.94951008]
[-3.05753666],[0.96247197]
[-3.01550867],[0.97678094]
[-2.97348067],[0.93518491]
[-2.93145268],[0.90792341]
[-2.91043868],[0.89779151]
[-2.88942468],[0.89842497]
[-2.86841068],[0.86963864]
[-2.84739669],[0.88321412]
[-2.82638269],[0.84535351]
[-2.80536869],[0.89895451]
[-2.7633407],[0.82732998]
[-2.7423267],[0.81362162]
[-2.7213127],[0.82176432]
[-2.7002987],[0.86950957]
[-2.6792847],[0.8004635]
[-2.65827071],[0.7814174]
[-2.59522871],[0.81287653]
[-2.57421472],[0.83736687]
[-2.55320072],[0.79768918]
[-2.53218672],[0.73442386]
[-2.51117272],[0.79573992]
[-2.49015873],[0.79940113]
[-2.46914473],[0.78135735]
[-2.42711673],[0.77103572]
[-2.40610273],[0.75810579]
[-2.38508874],[0.72516441]
[-2.36407474],[0.72581943]
[-2.34306074],[0.7477322]
[-2.32204674],[0.70010471]
[-2.30103275],[0.73355639]
[-2.28001875],[0.66204695]
[-2.23799075],[0.67367531]
[-2.21697676],[0.65161633]
[-2.15393476],[0.66364037]
[-2.13292076],[0.654455]
[-2.11190677],[0.69886553]
[-2.09089277],[0.63782347]
[-2.06987877],[0.69473478]
[-2.04886477],[0.65398439]
[-2.02785078],[0.6439963]
[-2.00683678],[0.58792665]
[-1.98582278],[0.57400871]
[-1.96480878],[0.58611556]
[-1.92278079],[0.56889147]
[-1.90176679],[0.6133034]
[-1.85973879],[0.60965913]
[-1.8387248],[0.55967314]
[-1.7966968],[0.60244034]
[-1.7756828],[0.5783218]
[-1.75466881],[0.56196363]
[-1.73365481],[0.58256097]
[-1.71264081],[0.60274505]
[-1.69162681],[0.53483914]
[-1.67061282],[0.50502978]
[-1.64959882],[0.50883236]
[-1.62858482],[0.51272686]
[-1.58655683],[0.5016644]
[-1.48148684],[0.48387023]
[-1.46047284],[0.51331175]
[-1.43945884],[0.48638853]
[-1.41844484],[0.40807635]
[-1.39743085],[0.4360293]
[-1.37641685],[0.45362025]
[-1.35540285],[0.45407289]
[-1.33438885],[0.44127538]
[-1.31337486],[0.41179336]
[-1.29236086],[0.40043729]
[-1.27134686],[0.41821995]
[-1.22931886],[0.43238754]
[-1.16627687],[0.42531863]
[-1.14526287],[0.35797904]
[-1.12424888],[0.42316699]
[-1.08222088],[0.3810101]
[-1.06120688],[0.33357576]
[-1.04019289],[0.34503088]
[-1.01917889],[0.35038661]
[-0.99816489],[0.32457176]
[-0.97715089],[0.27835653]
[-0.9351229],[0.3569017]
[-0.9141089],[0.26020084]
[-0.8930949],[0.29904828]
[-0.8720809],[0.26264525]
[-0.83005291],[0.27120981]
[-0.78802491],[0.31979862]
[-0.74599692],[0.23504753]
[-0.72498292],[0.22775834]
[-0.70396892],[0.27131215]
[-0.68295492],[0.21428201]
[-0.66194093],[0.17705271]
[-0.61991293],[0.16981528]
[-0.59889893],[0.24253815]
[-0.57788494],[0.1632701]
[-0.55687094],[0.1746258]
[-0.53585694],[0.19797554]
[-0.51484294],[0.18246696]
[-0.49382895],[0.19286149]
[-0.47281495],[0.15323402]
[-0.45180095],[0.19160331]
[-0.43078695],[0.18923769]
[-0.40977295],[0.10954848]
[-0.38875896],[0.12221228]
[-0.36774496],[0.15569372]
[-0.34673096],[0.07090178]
[-0.32571696],[0.15436694]
[-0.30470297],[0.12060598]
[-0.28368897],[0.10722243]
[-0.26267497],[0.13514941]
[-0.24166097],[0.08355394]
[-0.22064698],[0.08738194]
[-0.19963298],[0.09299125]
[-0.17861898],[0.08331187]
[-0.15760498],[0.08104603]
[-0.13659098],[0.00926863]
[-0.09456299],[0.03987315]
[-0.07354899],[0.03080917]
[-0.05253499],[0.10315891]
[-0.010507],[0.01977978]
[0.010507],[0.]
[0.031521],[0.06511541]
[0.07354899],[0.02523954]
[0.09456299],[0.06061356]
[0.11557699],[0.09195173]
[0.13659098],[0.07932611]
[0.17861898],[0.05082692]
[0.19963298],[0.12270849]
[0.22064698],[0.07147838]
[0.24166097],[0.13055934]
[0.26267497],[0.09884698]
[0.28368897],[0.15887059]
[0.34673096],[0.10889534]
[0.36774496],[0.13223505]
