x,y
[-3.12057866],[0.95110349]
[-3.09956466],[0.95317122]
[-3.07855066],[0.94951008]
[-3.03652267],[0.96464173]
[-3.01550867],[0.97678094]
[-2.99449467],[0.93865816]
[-2.95246667],[0.93808382]
[-2.93145268],[0.90792341]
[-2.88942468],[0.89842497]
[-2.86841068],[0.86963864]
[-2.82638269],[0.84535351]
[-2.80536869],[0.89895451]
[-2.78435469],[0.8751302]
[-2.7633407],[0.82732998]
[-2.7423267],[0.81362162]
[-2.7213127],[0.82176432]
[-2.7002987],[0.86950957]
[-2.6792847],[0.8004635]
[-2.63725671],[0.83217425]
[-2.61624271],[0.81130561]
[-2.59522871],[0.81287653]
[-2.55320072],[0.79768918]
[-2.53218672],[0.73442386]
[-2.51117272],[0.79573992]
[-2.49015873],[0.79940113]
[-2.44813073],[0.76725058]
[-2.42711673],[0.77103572]
[-2.40610273],[0.75810579]
[-2.36407474],[0.72581943]
[-2.34306074],[0.7477322]
[-2.28001875],[0.66204695]
[-2.25900475],[0.75195517]
[-2.23799075],[0.67367531]
[-2.19596276],[0.6724506]
[-2.17494876],[0.66623741]
[-2.13292076],[0.654455]
[-2.11190677],[0.69886553]
[-2.09089277],[0.63782347]
[-2.06987877],[0.69473478]
[-2.04886477],[0.65398439]
[-2.02785078],[0.6439963]
[-2.00683678],[0.58792665]
[-1.98582278],[0.57400871]
[-1.96480878],[0.58611556]
[-1.94379479],[0.64100254]
[-1.92278079],[0.56889147]
[-1.90176679],[0.6133034]
[-1.88075279],[0.56085411]
[-1.8177108],[0.60951049]
[-1.7756828],[0.5783218]
[-1.75466881],[0.56196363]
[-1.73365481],[0.58256097]
[-1.71264081],[0.60274505]
[-1.69162681],[0.53483914]
[-1.64959882],[0.50883236]
[-1.62858482],[0.51272686]
[-1.60757082],[0.48387435]
[-1.58655683],[0.5016644]
[-1.56554283],[0.53799644]
[-1.54452883],[0.4745601]
[-1.52351483],[0.4797389]
[-1.50250083],[0.43852934]
[-1.48148684],[0.48387023]
[-1.46047284],[0.51331175]
[-1.41844484],[0.40807635]
[-1.39743085],[0.4360293]
[-1.37641685],[0.45362025]
[-1.35540285],[0.45407289]
[-1.33438885],[0.44127538]
[-1.31337486],[0.41179336]
[-1.29236086],[0.40043729]
[-1.27134686],[0.41821995]
[-1.25033286],[0.41632729]
[-1.22931886],[0.43238754]
[-1.20830487],[0.38273827]
[-1.18729087],[0.34577561]
[-1.14526287],[0.35797904]
[-1.12424888],[0.42316699]
[-1.10323488],[0.32804264]
[-1.06120688],[0.33357576]
[-1.01917889],[0.35038661]
[-0.99816489],[0.32457176]
[-0.97715089],[0.27835653]
[-0.95613689],[0.23199505]
[-0.9351229],[0.3569017]
[-0.9141089],[0.26020084]
[-0.8930949],[0.29904828]
[-0.8720809],[0.26264525]
[-0.85106691],[0.29705283]
[-0.80903891],[0.22688636]
[-0.78802491],[0.31979862]
[-0.76701092],[0.21576941]
[-0.74599692],[0.23504753]
[-0.72498292],[0.22775834]
[-0.70396892],[0.27131215]
[-0.68295492],[0.21428201]
[-0.66194093],[0.17705271]
[-0.64092693],[0.14893274]
[-0.61991293],[0.16981528]
[-0.59889893],[0.24253815]
[-0.53585694],[0.19797554]
[-0.51484294],[0.18246696]
[-0.49382895],[0.19286149]
[-0.47281495],[0.15323402]
[-0.43078695],[0.18923769]
[-0.40977295],[0.10954848]
[-0.38875896],[0.12221228]
[-0.36774496],[0.15569372]
[-0.34673096],[0.07090178]
[-0.32571696],[0.15436694]
[-0.28368897],[0.10722243]
[-0.26267497],[0.13514941]
[-0.22064698],[0.08738194]
[-0.19963298],[0.09299125]
[-0.17861898],[0.08331187]
[-0.15760498],[0.08104603]
[-0.13659098],[0.00926863]
[-0.11557699],[0.07671716]
[-0.09456299],[0.03987315]
[-0.07354899],[0.03080917]
[-0.05253499],[0.10315891]
[-0.031521],[0.00103172]
[-0.010507],[0.01977978]
[0.031521],[0.06511541]
[0.05253499],[0.05261897]
[0.09456299],[0.06061356]
[0.11557699],[0.09195173]
[0.15760498],[0.08820855]
[0.17861898],[0.05082692]
[0.19963298],[0.12270849]
[0.22064698],[0.07147838]
[0.24166097],[0.13055934]
[0.28368897],[0.15887059]
[0.30470297],[0.13495055]
[0.32571696],[0.11251715]
[0.34673096],[0.10889534]
[0.36774496],[0.13223505]
[0.38875896],[0.16895882]
[0.40977295],[0.17838417]
[0.43078695],[0.1553271]
[0.47281495],[0.13909564]
[0.49382895],[0.16910918]
[0.51484294],[0.17289988]
[0.53585694],[0.20274715]
[0.55687094],[0.2081733]
[0.57788494],[0.23283466]
[0.59889893],[0.15791949]
[0.61991293],[0.23615882]
[0.64092693],[0.20667378]
[0.66194093],[0.1956957]
[0.68295492],[0.21411128]
[0.70396892],[0.24768016]
[0.72498292],[0.24414328]
[0.74599692],[0.17222812]
[0.76701092],[0.2221137]
[0.78802491],[0.27225789]
[0.80903891],[0.2909939]
[0.83005291],[0.28919737]
[0.85106691],[0.31361768]
[0.8720809],[0.27898074]
[0.8930949],[0.27865029]
[0.9141089],[0.34213436]
[0.9351229],[0.311584]
[0.95613689],[0.29424117]
[0.97715089],[0.30127475]
[0.99816489],[0.25146544]
[1.01917889],[0.28725875]
[1.08222088],[0.34370762]
[1.12424888],[0.30053682]
[1.16627687],[0.40948754]
[1.18729087],[0.35081673]
[1.22931886],[0.39140025]
[1.27134686],[0.43268081]
[1.29236086],[0.42377086]
[1.33438885],[0.42460969]
[1.35540285],[0.46186432]
[1.37641685],[0.44858825]
[1.41844484],[0.43086789]
[1.43945884],[0.4586224]
[1.48148684],[0.49724899]
[1.50250083],[0.49911204]
[1.52351483],[0.53081243]
[1.54452883],[0.45557403]
[1.56554283],[0.52725427]
[1.58655683],[0.46905006]
[1.60757082],[0.47142032]
[1.64959882],[0.48041209]
[1.67061282],[0.55225547]
[1.69162681],[0.60642313]
[1.71264081],[0.4746504]
[1.73365481],[0.55970235]
[1.75466881],[0.57873901]
[1.7756828],[0.58718315]
[1.7966968],[0.53030637]
[1.8387248],[0.52808966]
[1.85973879],[0.58458537]
[1.88075279],[0.54853768]
[1.92278079],[0.59043326]
[1.96480878],[0.59381498]
[1.98582278],[0.62229321]
[2.00683678],[0.6179048]
[2.02785078],[0.63478359]
[2.04886477],[0.63592766]
[2.06987877],[0.67862446]
[2.09089277],[0.64582221]
[2.11190677],[0.68458097]
[2.13292076],[0.70927757]
[2.15393476],[0.64876739]
[2.17494876],[0.66349344]
[2.19596276],[0.73734442]
[2.23799075],[0.75733393]
[2.25900475],[0.67683245]
[2.32204674],[0.70502518]
[2.36407474],[0.73510988]
[2.42711673],[0.72994865]
[2.44813073],[0.77184744]
[2.51117272],[0.75665835]
[2.53218672],[0.74356994]
[2.55320072],[0.78822205]
[2.59522871],[0.81934655]
[2.61624271],[0.78502976]
[2.65827071],[0.83465077]
[2.6792847],[0.78577425]
[2.7002987],[0.8404281]
[2.7423267],[0.87403833]
[2.7633407],[0.8641231]
[2.78435469],[0.88232455]
[2.80536869],[0.89208679]
[2.82638269],[0.86730622]
[2.86841068],[0.88243739]
[2.88942468],[0.86780918]
[2.91043868],[0.9105921]
[2.93145268],[0.90260181]
[2.99449467],[0.93071625]
[3.01550867],[0.91399516]
[3.03652267],[0.99034709]
[3.05753666],[0.9718411]
[3.09956466],[1.]
[3.12057866],[0.976931]
[3.14159265],[0.9823155]
