x,y
[-3.14159265],[0.96091653]
[-3.09956466],[0.96344481]
[-3.05753666],[0.97573699]
[-3.03652267],[0.93976636]
[-3.01550867],[0.91517783]
[-2.99449467],[0.87332634]
[-2.97348067],[0.91956911]
[-2.95246667],[0.92069692]
[-2.93145268],[0.88119858]
[-2.91043868],[0.86950123]
[-2.88942468],[0.86147901]
[-2.84739669],[0.8956093]
[-2.82638269],[0.84140134]
[-2.80536869],[0.84631378]
[-2.78435469],[0.82389958]
[-2.7633407],[0.80721095]
[-2.7423267],[0.86306216]
[-2.6792847],[0.80190011]
[-2.65827071],[0.78640262]
[-2.63725671],[0.77609866]
[-2.61624271],[0.81166276]
[-2.59522871],[0.84933244]
[-2.57421472],[0.80397962]
[-2.55320072],[0.76705059]
[-2.53218672],[0.80346217]
[-2.51117272],[0.81120288]
[-2.49015873],[0.78591692]
[-2.46914473],[0.72005817]
[-2.44813073],[0.77284401]
[-2.40610273],[0.71733591]
[-2.38508874],[0.71168647]
[-2.36407474],[0.71278237]
[-2.34306074],[0.75674293]
[-2.32204674],[0.69456079]
[-2.30103275],[0.71491528]
[-2.28001875],[0.7010778]
[-2.25900475],[0.75187298]
[-2.21697676],[0.641906]
[-2.19596276],[0.66617185]
[-2.17494876],[0.67024037]
[-2.15393476],[0.66974668]
[-2.06987877],[0.60949757]
[-1.98582278],[0.60213886]
[-1.96480878],[0.60523649]
[-1.94379479],[0.61600748]
[-1.90176679],[0.57910784]
[-1.88075279],[0.59355599]
[-1.85973879],[0.6242597]
[-1.8387248],[0.55829519]
[-1.8177108],[0.55989383]
[-1.7966968],[0.60050283]
[-1.7756828],[0.63530132]
[-1.75466881],[0.54626145]
[-1.73365481],[0.51508513]
[-1.71264081],[0.54135006]
[-1.69162681],[0.52852788]
[-1.67061282],[0.53936997]
[-1.62858482],[0.52046888]
[-1.60757082],[0.5191805]
[-1.58655683],[0.51001504]
[-1.56554283],[0.49434136]
[-1.54452883],[0.45043999]
[-1.52351483],[0.46352671]
[-1.50250083],[0.47797086]
[-1.48148684],[0.48421462]
[-1.43945884],[0.45419926]
[-1.41844484],[0.40554719]
