x,y
[-3.12057866],[0.96119101]
[-3.09956466],[1.]
[-3.07855066],[0.93541076]
[-3.03652267],[0.94935167]
[-3.01550867],[0.87525485]
[-2.99449467],[0.93606642]
[-2.95246667],[0.94112871]
[-2.93145268],[0.9457279]
[-2.88942468],[0.85374437]
[-2.86841068],[0.87561741]
[-2.82638269],[0.87122647]
[-2.80536869],[0.83728776]
[-2.78435469],[0.83874715]
[-2.7633407],[0.87686382]
[-2.7423267],[0.85777072]
[-2.7213127],[0.8494593]
[-2.7002987],[0.78513581]
[-2.6792847],[0.83806932]
[-2.63725671],[0.82167942]
[-2.61624271],[0.79913568]
[-2.59522871],[0.84020161]
[-2.55320072],[0.78187174]
[-2.53218672],[0.75357494]
[-2.51117272],[0.71209092]
[-2.49015873],[0.80422593]
[-2.44813073],[0.87827684]
[-2.42711673],[0.7680747]
[-2.40610273],[0.81024602]
[-2.36407474],[0.75847433]
[-2.34306074],[0.69885128]
[-2.28001875],[0.65026093]
[-2.25900475],[0.73577831]
[-2.23799075],[0.70032042]
[-2.19596276],[0.69108139]
[-2.17494876],[0.70369645]
[-2.13292076],[0.69135755]
[-2.11190677],[0.65642132]
[-2.09089277],[0.66748504]
[-2.06987877],[0.64795084]
[-2.04886477],[0.6384122]
[-2.02785078],[0.66308551]
[-2.00683678],[0.66980268]
[-1.98582278],[0.59028031]
[-1.96480878],[0.65601156]
[-1.94379479],[0.62489504]
[-1.92278079],[0.58300249]
[-1.90176679],[0.60595196]
[-1.88075279],[0.5926577]
[-1.8177108],[0.58228362]
[-1.7756828],[0.59083863]
[-1.75466881],[0.54803457]
[-1.73365481],[0.53368355]
[-1.71264081],[0.55416536]
[-1.69162681],[0.56396678]
[-1.64959882],[0.54612617]
[-1.62858482],[0.51221235]
[-1.60757082],[0.52262804]
[-1.58655683],[0.47016589]
[-1.56554283],[0.55421472]
[-1.54452883],[0.52668591]
[-1.52351483],[0.51921033]
[-1.50250083],[0.5331171]
[-1.48148684],[0.49874726]
[-1.46047284],[0.51561156]
[-1.41844484],[0.48815183]
