x,y
[-3.14159265],[0.94519168]
[-3.12057866],[0.96030071]
[-3.07855066],[0.96901724]
[-3.05753666],[1.]
[-3.03652267],[0.96783909]
[-3.01550867],[0.91209056]
[-2.99449467],[0.89724021]
[-2.97348067],[0.96340078]
[-2.95246667],[0.94039809]
[-2.93145268],[0.91591848]
[-2.91043868],[0.87845503]
[-2.86841068],[0.89929601]
[-2.84739669],[0.87878296]
[-2.82638269],[0.85190102]
[-2.80536869],[0.87925831]
[-2.78435469],[0.83439891]
[-2.7633407],[0.88051436]
[-2.7423267],[0.87564535]
[-2.7213127],[0.85687428]
[-2.7002987],[0.8386422]
[-2.6792847],[0.89239756]
[-2.65827071],[0.82249758]
[-2.63725671],[0.8433997]
[-2.61624271],[0.77141368]
[-2.57421472],[0.78705937]
[-2.51117272],[0.79999792]
[-2.49015873],[0.77810667]
[-2.46914473],[0.82356116]
[-2.44813073],[0.79391376]
[-2.42711673],[0.77290224]
[-2.38508874],[0.80188634]
[-2.36407474],[0.72556731]
[-2.32204674],[0.70387571]
[-2.30103275],[0.74518694]
[-2.25900475],[0.73707541]
[-2.23799075],[0.74276219]
[-2.21697676],[0.70107039]
[-2.19596276],[0.72538874]
[-2.17494876],[0.71337571]
[-2.15393476],[0.75374986]
[-2.13292076],[0.66969928]
[-2.11190677],[0.71008774]
[-2.09089277],[0.72103585]
[-2.04886477],[0.66531739]
[-2.02785078],[0.66263087]
[-2.00683678],[0.66441224]
[-1.96480878],[0.70820345]
[-1.94379479],[0.63566283]
[-1.92278079],[0.60357492]
[-1.90176679],[0.63547899]
[-1.88075279],[0.61829757]
[-1.85973879],[0.60424883]
[-1.8387248],[0.57255052]
[-1.8177108],[0.59829081]
[-1.7966968],[0.58716797]
[-1.75466881],[0.57082811]
[-1.73365481],[0.59683843]
[-1.71264081],[0.53168914]
[-1.69162681],[0.53107835]
[-1.67061282],[0.52291787]
[-1.64959882],[0.50940426]
[-1.62858482],[0.53343073]
[-1.60757082],[0.5298736]
[-1.56554283],[0.54243635]
[-1.54452883],[0.50155004]
[-1.52351483],[0.5422397]
[-1.50250083],[0.49944299]
[-1.48148684],[0.50053861]
[-1.46047284],[0.49231275]
[-1.43945884],[0.50021219]
[-1.41844484],[0.51596876]
[-1.37641685],[0.45321754]
[-1.33438885],[0.49229736]
[-1.31337486],[0.50033254]
[-1.29236086],[0.39906052]
[-1.25033286],[0.46208579]
[-1.22931886],[0.43155375]
[-1.20830487],[0.3643162]
[-1.18729087],[0.4167772]
[-1.16627687],[0.38001022]
[-1.12424888],[0.40716397]
[-1.10323488],[0.4128797]
[-1.08222088],[0.30564446]
[-1.06120688],[0.32584812]
[-1.04019289],[0.40397143]
[-1.01917889],[0.32446442]
[-0.99816489],[0.32257897]
[-0.97715089],[0.34884811]
[-0.95613689],[0.3573295]
[-0.9351229],[0.3318287]
[-0.9141089],[0.29921578]
[-0.8720809],[0.30155567]
[-0.85106691],[0.31858162]
[-0.83005291],[0.30945726]
[-0.80903891],[0.36964699]
[-0.76701092],[0.20205906]
[-0.74599692],[0.29469488]
[-0.70396892],[0.27878705]
[-0.66194093],[0.27693073]
[-0.64092693],[0.24714816]
[-0.59889893],[0.24012414]
[-0.57788494],[0.19106235]
