x,y
[-3.12057866],[0.00729933]
[-3.09956466],[0.00855415]
[-3.07855066],[0.00931726]
[-3.03652267],[0.01256945]
[-3.01550867],[0.01447405]
[-2.99449467],[0.01515584]
[-2.95246667],[0.00979552]
[-2.93145268],[0.01199541]
[-2.88942468],[0.00978027]
[-2.86841068],[0.00795179]
[-2.82638269],[0.01491517]
[-2.80536869],[0.]
[-2.78435469],[0.00636733]
[-2.7633407],[0.0093603]
[-2.7423267],[0.0130103]
[-2.7213127],[0.00884323]
[-2.7002987],[0.00493468]
[-2.6792847],[0.0049663]
[-2.63725671],[0.00592927]
[-2.61624271],[0.00877399]
[-2.59522871],[0.01828852]
[-2.55320072],[0.01609039]
[-2.53218672],[0.01070355]
[-2.51117272],[0.00247696]
[-2.49015873],[0.0129378]
[-2.44813073],[0.0122308]
[-2.42711673],[0.0070776]
[-2.40610273],[0.0070486]
[-2.36407474],[0.019164]
[-2.34306074],[0.0085797]
[-2.28001875],[0.02005766]
[-2.25900475],[0.01252332]
[-2.23799075],[0.0145855]
[-2.19596276],[0.01232204]
[-2.17494876],[0.00726365]
[-2.13292076],[0.0211556]
[-2.11190677],[0.0140453]
[-2.09089277],[0.01763235]
[-2.06987877],[0.01434327]
[-2.04886477],[0.01200354]
[-2.02785078],[0.02478525]
[-2.00683678],[0.00986601]
[-1.98582278],[0.01261418]
[-1.96480878],[0.01457121]
[-1.94379479],[0.01671788]
[-1.92278079],[0.01717985]
[-1.90176679],[0.01731377]
[-1.88075279],[0.01559904]
[-1.8177108],[0.00896169]
[-1.7756828],[0.01183128]
[-1.75466881],[0.01551311]
[-1.73365481],[0.01769222]
[-1.71264081],[0.0151716]
[-1.69162681],[0.01781377]
[-1.64959882],[0.01204579]
[-1.62858482],[0.01861182]
[-1.60757082],[0.01901056]
[-1.58655683],[0.01672126]
[-1.56554283],[0.01902677]
[-1.54452883],[0.02543911]
[-1.52351483],[0.0202544]
[-1.50250083],[0.01391328]
[-1.48148684],[0.0194077]
[-1.46047284],[0.02109712]
[-1.41844484],[0.01532668]
[-1.39743085],[0.01087979]
[-1.37641685],[0.01169676]
[-1.35540285],[0.01981725]
[-1.33438885],[0.01660614]
[-1.31337486],[0.02158123]
[-1.29236086],[0.03871869]
[-1.27134686],[0.01502816]
[-1.25033286],[0.01721939]
[-1.22931886],[0.01677538]
[-1.20830487],[0.02493864]
[-1.18729087],[0.01901183]
[-1.14526287],[0.02362812]
[-1.12424888],[0.02196431]
[-1.10323488],[0.01891952]
[-1.06120688],[0.01820738]
[-1.01917889],[0.03221618]
[-0.99816489],[0.02029129]
[-0.97715089],[0.02152032]
[-0.95613689],[0.01602758]
[-0.9351229],[0.01794287]
[-0.9141089],[0.0270741]
[-0.8930949],[0.02002491]
[-0.8720809],[0.03114325]
[-0.85106691],[0.02258611]
[-0.80903891],[0.00942912]
[-0.78802491],[0.02652488]
[-0.76701092],[0.02515964]
[-0.74599692],[0.02291566]
[-0.72498292],[0.0261118]
[-0.70396892],[0.02946635]
[-0.68295492],[0.03245089]
[-0.66194093],[0.03169076]
[-0.64092693],[0.0325169]
[-0.61991293],[0.03272467]
[-0.59889893],[0.0278423]
[-0.53585694],[0.02991491]
[-0.51484294],[0.02940532]
[-0.49382895],[0.03359699]
[-0.47281495],[0.03751722]
[-0.43078695],[0.03350046]
[-0.40977295],[0.0277252]
[-0.38875896],[0.03678382]
[-0.36774496],[0.0328832]
[-0.34673096],[0.04000651]
[-0.32571696],[0.03927414]
[-0.28368897],[0.03612703]
[-0.26267497],[0.03459911]
[-0.22064698],[0.03604037]
[-0.19963298],[0.03616504]
[-0.17861898],[0.04052542]
